"filename", "language", "C++", "Ini", "comment", "blank", "total"
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\include\Color.h", "C++", 23, 0, 0, 7, 30
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\include\LoopingColor.h", "C++", 9, 0, 0, 3, 12
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\include\RGBAnimate.h", "C++", 11, 0, 0, 3, 14
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\include\RGBConfig.h", "C++", 21, 0, 22, 12, 55
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\include\RGBQueue.h", "C++", 16, 0, 0, 9, 25
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\include\RGBServer.h", "C++", 14, 0, 6, 7, 27
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\include\SetColor.h", "C++", 6, 0, 0, 3, 9
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\include\SingleColor.h", "C++", 9, 0, 0, 3, 12
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\include\Step.h", "C++", 5, 0, 0, 3, 8
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\platformio.ini", "Ini", 0, 8, 9, 1, 18
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\src\Algorithms\RGBAnimate.cpp", "C++", 28, 0, 1, 6, 35
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\src\Algorithms\RGBQueue.cpp", "C++", 46, 0, 0, 6, 52
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\src\Algorithms\Step.cpp", "C++", 7, 0, 7, 1, 15
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\src\Color\Color.cpp", "C++", 32, 0, 0, 7, 39
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\src\Color\RGBConfig.cpp", "C++", 44, 0, 0, 9, 53
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\src\RGBServer.cpp", "C++", 41, 0, 0, 6, 47
"c:\Users\Lucas\Documents\rgb\ESP32C3_rgb_controller\src\main.cpp", "C++", 69, 0, 25, 22, 116
"Total", "-", 381, 8, 70, 108, 567